iteration,model,treatment_balanced_mean_rmse,resampled_blank_ids
276,persistence,19.95001594931197,K1;K3;K3
276,recent_rate,12.714918770329577,K1;K3;K3
276,zero_anchored_gompertz,16.455070917508316,K1;K3;K3
278,modified_gompertz,15.4225788787008,K2;K2;K1
278,persistence,19.856076227073345,K2;K2;K1
278,recent_rate,12.630846094811998,K2;K2;K1
278,zero_anchored_gompertz,16.254151037588404,K2;K2;K1
280,modified_gompertz,13.433841721741992,K3;K2;K2
280,persistence,18.80668618802794,K3;K2;K2
280,recent_rate,10.38649530688697,K3;K2;K2
280,zero_anchored_gompertz,13.659094205973247,K3;K2;K2
287,modified_gompertz,14.716596105893245,K2;K2;K3
287,persistence,19.204789626322167,K2;K2;K3
287,recent_rate,12.268824211284773,K2;K2;K3
287,zero_anchored_gompertz,14.823971686717615,K2;K2;K3
288,modified_gompertz,13.157346238710526,K2;K2;K1
288,persistence,18.359905887114454,K2;K2;K1
288,recent_rate,12.410798054340136,K2;K2;K1
288,zero_anchored_gompertz,14.095795600837826,K2;K2;K1
291,modified_gompertz,17.016078385626074,K2;K1;K3
291,persistence,21.226101050112835,K2;K1;K3
291,recent_rate,15.138146261278168,K2;K1;K3
291,zero_anchored_gompertz,17.55330345637905,K2;K1;K3
295,modified_gompertz,13.433853298154661,K1;K2;K2
295,persistence,18.660575230688487,K1;K2;K2
295,recent_rate,11.965096402052295,K1;K2;K2
295,zero_anchored_gompertz,14.422018821439575,K1;K2;K2
